,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
173,AREA # 02201,Calama,"MR/DUC/H:1,3",1047.3100000000002,209.5,385000.0,2.5,2,70
174,AREA # 02201,Calama,MUR+ADO/H:1,186.1,186.1,35000.0,1.0,1,70
175,AREA # 02201,Calama,"MUR+ADO/H:1,2",2301.6000000000004,1841.3,43750.0,1.25,1,70
176,AREA # 02201,Calama,"MUR+STDRE/H:1,2",439.96000000000004,352.0,43750.0,1.25,1,70
177,AREA # 02201,Calama,"MUR/H:1,3",1475.5800000000002,983.7,52500.0,1.5,1,70
178,AREA # 02201,Calama,UNK,256.5,256.5,35000.0,1.0,1,70
179,AREA # 02201,Calama,W+WLI/H:1,513.1999999999999,513.2,64000.0,1.0,1,80
180,AREA # 02201,Calama,"W+WLI/H:1,3",1174.4,782.9,96000.0,1.5,1,80
181,AREA # 02201,Calama,W+WS/H:1,119.5,119.5,35000.0,1.0,1,70
182,AREA # 02201,Calama,"W+WS/H:1,2",348.59999999999997,278.9,43750.0,1.25,1,70
183,AREA # 02203,San Pedro de Atacama,"CR+PC/LWAL/H:1,3",18.200000000000003,3.6,320000.0,2.5,2,80
184,AREA # 02203,San Pedro de Atacama,"CR/LWAL/DNO/H:1,3",18.65,4.7,256000.0,2.0,2,80
185,AREA # 02203,San Pedro de Atacama,"CR/LWAL/DUC/H:1,3",0.9500000000000001,0.2,308000.0,2.0,2,70
186,AREA # 02203,San Pedro de Atacama,ER+ETR/H:1,7.5,7.5,35000.0,1.0,1,70
187,AREA # 02203,San Pedro de Atacama,"ER+ETR/H:1,2",62.0,49.6,43750.0,1.25,1,70
188,AREA # 02203,San Pedro de Atacama,MCF/DNO/H:1,0.45,0.5,35000.0,1.0,1,70
189,AREA # 02203,San Pedro de Atacama,"MCF/DNO/H:1,3",31.25,20.8,84000.0,1.5,1,70
190,AREA # 02203,San Pedro de Atacama,"MCF/DUC/H:1,3",19.500000000000004,4.9,256000.0,2.0,2,80
191,AREA # 02203,San Pedro de Atacama,"MR/DNO/H:1,3",24.2,4.8,320000.0,2.5,2,80
192,AREA # 02203,San Pedro de Atacama,"MR/DUC/H:1,3",4.86,1.0,385000.0,2.5,2,70
193,AREA # 02203,San Pedro de Atacama,MUR+ADO/H:1,17.5,17.5,35000.0,1.0,1,70
194,AREA # 02203,San Pedro de Atacama,"MUR+ADO/H:1,2",248.0,198.4,43750.0,1.25,1,70
195,AREA # 02203,San Pedro de Atacama,"MUR+STDRE/H:1,2",2.66,2.1,43750.0,1.25,1,70
196,AREA # 02203,San Pedro de Atacama,"MUR/H:1,3",6.280000000000001,4.2,52500.0,1.5,1,70
197,AREA # 02203,San Pedro de Atacama,UNK,9.7,9.7,35000.0,1.0,1,70
198,AREA # 02203,San Pedro de Atacama,W+WLI/H:1,4.8,4.8,64000.0,1.0,1,80
199,AREA # 02203,San Pedro de Atacama,"W+WLI/H:1,3",21.599999999999998,14.4,96000.0,1.5,1,80
200,AREA # 02203,San Pedro de Atacama,W+WS/H:1,1.5,1.5,35000.0,1.0,1,70
201,AREA # 02203,San Pedro de Atacama,"W+WS/H:1,2",7.3999999999999995,5.9,43750.0,1.25,1,70
202,AREA # 02301,Tocopilla,"CR+PC/LWAL/H:1,3",469.20000000000005,93.8,320000.0,2.5,2,80
203,AREA # 02301,Tocopilla,"CR/LWAL/DNO/H:1,3",1261.5500000000002,315.4,256000.0,2.0,2,80
204,AREA # 02301,Tocopilla,"CR/LWAL/DNO/H:4,7",149.2,9.9,960000.0,5.0,3,80
205,AREA # 02301,Tocopilla,"CR/LWAL/DUC/H:1,3",107.05000000000001,26.8,308000.0,2.0,2,70
206,AREA # 02301,Tocopilla,"CR/LWAL/DUC/H:4,7",11.899999999999999,0.8,1155000.0,5.0,3,70
207,AREA # 02301,Tocopilla,"CR/LWAL/DUC/H:8,19",10.2,0.2,3696000.0,12.0,4,70
208,AREA # 02301,Tocopilla,"ER+ETR/H:1,2",1.6,1.3,43750.0,1.25,1,70
209,AREA # 02301,Tocopilla,MCF/DNO/H:1,29.55,29.6,35000.0,1.0,1,70
210,AREA # 02301,Tocopilla,"MCF/DNO/H:1,3",954.8499999999999,636.6,84000.0,1.5,1,70
211,AREA # 02301,Tocopilla,"MCF/DUC/H:1,3",614.9499999999999,153.7,256000.0,2.0,2,80
212,AREA # 02301,Tocopilla,"MR/DNO/H:1,3",685.3,137.1,320000.0,2.5,2,80
213,AREA # 02301,Tocopilla,"MR/DUC/H:1,3",153.20999999999998,30.6,385000.0,2.5,2,70
214,AREA # 02301,Tocopilla,"MUR+ADO/H:1,2",6.4,5.1,43750.0,1.25,1,70
215,AREA # 02301,Tocopilla,"MUR+STDRE/H:1,2",137.56,110.0,43750.0,1.25,1,70
216,AREA # 02301,Tocopilla,"MUR/H:1,3",342.47999999999996,228.3,52500.0,1.5,1,70
217,AREA # 02301,Tocopilla,UNK,108.19999999999999,108.2,35000.0,1.0,1,70
218,AREA # 02301,Tocopilla,W+WLI/H:1,39.699999999999996,39.7,64000.0,1.0,1,80
219,AREA # 02301,Tocopilla,"W+WLI/H:1,3",743.9,495.9,96000.0,1.5,1,80
220,AREA # 02301,Tocopilla,W+WS/H:1,40.1,40.1,35000.0,1.0,1,70
221,AREA # 02301,Tocopilla,"W+WS/H:1,2",189.1,151.3,43750.0,1.25,1,70
222,AREA # 02302,María Elena,"CR+PC/LWAL/H:1,3",72.80000000000001,14.6,320000.0,2.5,2,80
223,AREA # 02302,María Elena,"CR/LWAL/DNO/H:1,3",725.75,181.4,256000.0,2.0,2,80
224,AREA # 02302,María Elena,"CR/LWAL/DUC/H:1,3",112.44999999999999,28.1,308000.0,2.0,2,70
225,AREA # 02302,María Elena,ER+ETR/H:1,0.6,0.6,35000.0,1.0,1,70
226,AREA # 02302,María Elena,"ER+ETR/H:1,2",3.8000000000000003,3.0,43750.0,1.25,1,70
227,AREA # 02302,María Elena,MCF/DNO/H:1,2.8000000000000003,2.8,35000.0,1.0,1,70
228,AREA # 02302,María Elena,"MCF/DNO/H:1,3",200.40000000000003,133.6,84000.0,1.5,1,70
229,AREA # 02302,María Elena,"MCF/DUC/H:1,3",195.0,48.8,256000.0,2.0,2,80
230,AREA # 02302,María Elena,"MR/DNO/H:1,3",158.0,31.6,320000.0,2.5,2,80
231,AREA # 02302,María Elena,"MR/DUC/H:1,3",44.7,8.9,385000.0,2.5,2,70
232,AREA # 02302,María Elena,MUR+ADO/H:1,1.4,1.4,35000.0,1.0,1,70
233,AREA # 02302,María Elena,"MUR+ADO/H:1,2",15.200000000000001,12.2,43750.0,1.25,1,70
234,AREA # 02302,María Elena,"MUR+STDRE/H:1,2",50.2,40.2,43750.0,1.25,1,70
235,AREA # 02302,María Elena,"MUR/H:1,3",111.90000000000002,74.6,52500.0,1.5,1,70
236,AREA # 02302,María Elena,UNK,62.6,62.6,35000.0,1.0,1,70
237,AREA # 02302,María Elena,W+WLI/H:1,35.599999999999994,35.6,64000.0,1.0,1,80
238,AREA # 02302,María Elena,"W+WLI/H:1,3",168.9,112.6,96000.0,1.5,1,80
239,AREA # 02302,María Elena,W+WS/H:1,17.8,17.8,35000.0,1.0,1,70
240,AREA # 02302,María Elena,"W+WS/H:1,2",65.1,52.1,43750.0,1.25,1,70
241,AREA # 03101,Copiapó,"CR+PC/LWAL/H:1,3",2718.5,543.7,320000.0,2.5,2,80
242,AREA # 03101,Copiapó,"CR/LWAL/DNO/H:1,3",1655.1,413.8,256000.0,2.0,2,80
243,AREA # 03101,Copiapó,"CR/LWAL/DNO/H:4,7",305.7,20.4,960000.0,5.0,3,80
244,AREA # 03101,Copiapó,"CR/LWAL/DUC/H:1,3",334.1,83.5,308000.0,2.0,2,70
245,AREA # 03101,Copiapó,"CR/LWAL/DUC/H:4,7",98.2,6.5,1155000.0,5.0,3,70
246,AREA # 03101,Copiapó,"CR/LWAL/DUC/H:8,19",81.0,1.7,3696000.0,12.0,4,70
247,AREA # 03101,Copiapó,ER+ETR/H:1,98.4,98.4,35000.0,1.0,1,70
248,AREA # 03101,Copiapó,"ER+ETR/H:1,2",752.8000000000001,602.2,43750.0,1.25,1,70
249,AREA # 03101,Copiapó,MCF/DNO/H:1,376.05,376.1,35000.0,1.0,1,70
250,AREA # 03101,Copiapó,"MCF/DNO/H:1,3",5126.25,3417.5,84000.0,1.5,1,70
